codigo,descricao,etapa,categoria,objeto_conhecimento
EF03CO05,Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.,EF03,Mundo Digital,Codificação da informação
EF03CO06,"Reconhecer que, para um computador realizar tarefas, ele se comunica com o mundo exterior com o uso de interfaces físicas (dispositivos de entrada e saída).",EF03,Mundo Digital,Interface física
EF03CO07,Utilizar diferentes navegadores e ferramentas de busca para pesquisar e acessar informações.,EF03,Cultura Digital,Uso de tecnologias computacionais
EF03CO08,Usar ferramentas computacionais em situações didáticas para se expressar em diferentes formatos digitais.,EF03,Cultura Digital,Uso de tecnologias computacionais
EF03CO09,Reconhecer o potencial impacto do compartilhamento de informações pessoais ou de seus pares em meio digital.,EF03,Cultura Digital,Segurança e responsabilidade no uso da tecnologia
EF04CO01,"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de matrizes que estabelecem uma organização na qual cada componente está em uma posição definida por coordenadas, fazendo manipulações simples sobre estas representações.",EF04,Pensamento Computacional,Matrizes e registros
EF04CO02,"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de registros que estabelecem uma organização na qual cada componente é identificado por um nome, fazendo manipulações sobre estas representações.",EF04,Pensamento Computacional,Matrizes e registros
EF04CO03,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples e aninhadas (iterações definidas e indefinidas), para resolver problemas de forma independente e em colaboração.",EF04,Pensamento Computacional,Algoritmos com repetições simples e aninhadas
EF04CO04,"Entender que para guardar, manipular e transmitir dados deve-se codificá-los de alguma forma que seja compreendida pela máquina (formato digital).",EF04,Mundo Digital,Codificação da informação
EF04CO05,"Codificar diferentes informações para representação em computador (binária, ASCII, atributos de pixel, como RGB etc.).",EF04,Mundo Digital,Codificação da informação
EF04CO06,"Usar diferentes ferramentas computacionais para criação de conteúdo (textos, apresentações, vídeos etc.).",EF04,Cultura Digital,Uso de tecnologias computacionais
EF04CO07,"Demonstrar postura ética nas atividades de coleta, transferência, guarda e uso de dados.",EF04,Cultura Digital,Segurança e responsabilidade no uso da tecnologia
EF04CO08,Reconhecer a importância de verificar a confiabilidade das fontes de informações obtidas na Internet.,EF04,Cultura Digital,Segurança e responsabilidade no uso da tecnologia
EF05CO01,"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de listas que estabelecem uma organização na qual há um número variável de itens dispostos em sequência, fazendo manipulações simples sobre estas representações.",EF05,Pensamento Computacional,Listas e grafos
EF05CO02,"Reconhecer objetos do mundo real e digital que podem ser representados através de grafos que estabelecem uma organização com uma quantidade variável de vértices conectados por arestas, fazendo manipulações simples sobre estas representações.",EF05,Pensamento Computacional,Listas e grafos
EF05CO03,"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'.",EF05,Pensamento Computacional,Lógica computacional
EF05CO04,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências, repetições e seleções condicionais para resolver problemas de forma independente e em colaboração.",EF05,Pensamento Computacional,Algoritmos com seleção condicional
EF05CO05,"Identificar os componentes principais de um computador (dispositivos de entrada/saída, processadores e armazenamento).",EF05,Mundo Digital,Arquitetura de computadores
EF05CO06,Reconhecer que os dados podem ser armazenados em um dispositivo local ou remoto.,EF05,Mundo Digital,Armazenamento de dados
EF05CO07,Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.,EF05,Mundo Digital,Sistema operacional
EF05CO08,Acessar as informações na Internet de forma crítica para distinguir os conteúdos confiáveis de não confiáveis.,EF05,Cultura Digital,Segurança e responsabilidade no uso da tecnologia
EF05CO09,Usar informações considerando aplicações e limites dos direitos autorais em diferentes mídias digitais.,EF05,Cultura Digital,Segurança e responsabilidade no uso da tecnologia
EF05CO10,Expressar-se crítica e criativamente na compreensão das mudanças tecnológicas no mundo do trabalho e sobre a evolução da sociedade.,EF05,Cultura Digital,Uso de tecnologias computacionais
EF05CO11,Identificar a adequação de diferentes tecnologias computacionais na resolução de problemas.,EF05,Cultura Digital,Uso de tecnologias computacionais
EF06CO01,"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um 'tipo de dados'",EF06,Pensamento Computacional,Tipos de dados
EF06CO02,"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",EF06,Pensamento Computacional,Linguagem de programação
EF06CO03,"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",EF06,Pensamento Computacional,Linguagem de programação
EF06CO04,Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,EF06,Pensamento Computacional,Decomposição
EF06CO05,"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída.",EF06,Pensamento Computacional,Generalização
EF06CO06,"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica.",EF06,Pensamento Computacional,Generalização
EF06CO07,"Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",EF06,Mundo Digital,Fundamentos de transmissão de dados
EF06CO08,"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",EF06,Mundo Digital,Gestão de dados
EF06CO09,"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito.",EF06,Cultura Digital,Tecnologia digital e sociedade
EF06CO10,"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade.",EF06,Cultura Digital,Tecnologia digital e sustentabilidade
EF07CO01,Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.,EF07,Pensamento Computacional,Programação usando registros e matrizes
EF07CO02,"Analisar programas para detectar e remover erros, ampliando a confiança na sua correção.",EF07,Pensamento Computacional,Análise de programas
EF07CO03,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares.",EF07,Pensamento Computacional,Projetos com programação
EF07CO04,Explorar propriedades básicas de grafos.,EF07,Pensamento Computacional,Propriedades de grafos
EF07CO05,Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.,EF07,Pensamento Computacional,Reúso
EF07CO06,Compreender o papel de protocolos para a transmissão de dados.,EF07,Mundo Digital,Protocolos de comunicação em redes
EF07CO07,Identificar problemas de segurança cibernética e experimentar formas de proteção.,EF07,Mundo Digital,Fundamentos de Segurança Cibernética
EF07CO08,Demonstrar empatia sobre opiniões divergentes na web.,EF07,Cultura Digital,Cyberbullying
EF07CO09,Reconhecer e debater sobre cyberbullying.,EF07,Cultura Digital,Cyberbullying
EF07CO10,"Identificar os impactos ambientais do descarte de peças de computadores e eletrônicos, bem como sua relação com a sustentabilidade.",EF07,Cultura Digital,Impactos da tecnologia digital
